yorum,product_name,Kategori
"Her ayın 25i Turkcell fatura tarihimdi. Kontratımın bitmesine 7 gün kala faturayı değiştirdim. İki gün sonra vazgeçip başka operatöre geçtim. Daha fatura tarihim gelmeden bana 2180 TL cayma bedeli çıkardılar. Müşteri hizmetlerini aradım, ödemek zorundasınız dediler. Ancak bayideki kişi sadece kullanımı ödersiniz, cayma bedeli ödemezsiniz, fatura tarihinize var çünkü dedi. Ama müşteri hizmetleri hiçbir şey yapamazsınız diyorlar. Paramı kullanmadığım halde ödemeyeceğim bu parayı.",Turkcell Yanıltıcı Bilgilendirme Ve Yüksek Cayma Bedeli Şikayeti,Cayma
"Bulunduğum yerde diğer operatörler full çekiyor fakat Turkcell hiç çekmiyor. Bu konu ile alakalı 3 kere şikayet ve inceleme talebinde bulundum, olumsuz geri dönüş aldım. Hattımı değiştirmek istediğimde ise cayma bedeli talep ediyorlar. Yani durumumu şöyle özetleyeyim. Türk Telekom, Vodafone kullanan yakınlarımın hattı full çekerken benim hattım onların 3 kaf fazla ücret ödememe rağmen çekmiyor. Ne interneti kullanabiliyorum ne kesintisiz arama yapabiliyorum. İstanbul Pendik gibi bir yerde Turkcellin çekmemesi inanılır gibi değil, bu denli bir markanın bu kadar reklam yapıp sorunu çözemeyip üstüne üstlük alamadığım hizmetten ötürü hattımı değiştirmek istediğimde ekstra ücret istemesi markanın kalitesini gösteriyor. Mahkeme ile uğraşmama için son kez bu platformdan şikayetimi dile getiriyorum.",Turkcell Çekmiyor Ve Sorunu Çözemiyor!,Cayma
Antalyanın Muratpaşa Ermenek mahallesinde Turkcell internet ve sesli görüşme problemi yaşıyorum. Mobil uygulama üzerinden talep formu açtım. Gelen cevabın bir kısmı şu şekilde kapsama alanı/sinyal alma sorunu yaşandığını bildirdiğiniz bölgeyi inceledik. Şu an olumlu yanıt veremiyoruz. Talebinizi önümüzdeki dönem planlarımız dahilinde değerlendireceğiz. Şaka gibisin gerçekten Turkcell bravo 👏 ben her ay 420₺ fatura öderken tam kullanım sağlayamıyorum. Önümüzdeki dönem planlarına kadar benim mağduriyetimi nasıl gidereceksiniz? Bu haklı kazanç mıdır? 532 i aradığımda müşteri temsilcisi aylık 22gb kullanım gözüküyor dedi şaka gibi gerçekten. Kullanamadığım 38gb internetin parasını neden ödüyorum dediğim zaman haklısınız dedi. Ayrıca ben o kullandığım 22gb interneti çalışan bir insan olduğum için iş yerinde kullanıyorum evimde kullanamıyorum. Operatör değişikliği yapmak istediğim zaman yüklü miktarda cayma bedeli çıkarıyorlar. Şimdi benim sorum şu...! -Ben akşam işten eve geldiğimde aylık faturanızı eksiksiz tam öderken siz bana neden tam kullanım sağlamıyorsunuz? -Önümüzdeki dönem planlarına kadar benim kullanamadığım internet ve sesli görüşme gibi mağduriyetlerimi nasıl gidereceksiniz? Üstelik ben faturanızı eksiksiz öderken? -başka bir operatöre haklı sebebim varken geçme hakkı neden tanımıyor? Ve yüksek miktarda cayma bedeli çıkarıyorsunuz?,Mağdur Olmak İstiyorsan Turkcell'e Geç!,Cayma
"Turkcell, yaşlı müşterilerine fazla fatura ve cayma bedeli çıkartıyor. Yaşlı babam 2 gün kullanıp ayrıldığı için 1727₺ cayma bedeli çıkarttılar. Bu operatör, müşteri hizmetleriyle ilgili sorunlar yaşıyor. Müşteri hizmetleri, gidin dava açın dedi. 2 gün kullanım için indirimsiz bir bedel çıkmalıdır. Keyfi rakamlar çıkartılamaz. Tüm mecralardan şikayet edeceğim.",Turkcell Yaşlı Müşterilere Yüksek Fatura Ve Cayma Bedeli Sorunu,Cayma
Turkcellle geçtiğimiz sene yaptığım mobil hat taahhüdümün 12. Ayına girmiş bulunmaktayım. Fiyatlar iki katına çıkacağı için farklı operatöre geçmek istiyorum. BTKnin kuralı gereğince 12. Ayıma girdiğim için cayma bedeli çıkmaması gerekiyor. Az önce müşteri hizmetleri ile görüştüm bana 124 lira cayma bedeli çıkacağını söylüyorlar fakat bunun doğru olmadığını ilettiğimde bizim yapabilecek bir şeyimiz yok diyorlar. Diğer tüm operatörler bu kuralı uygularken Turkcell neye dayanarak son ay cayma bedeli ücreti çıkartıyor? Bu haksız kazanç olmuyor mu?,Turkcell Son Ay Cayma Bedeli İstiyor,Cayma
Turkcell operatörüne 04.06.2024 tarihi itibariyle geçiş yaptım. Bulunduğum bölgede şebekesi kullanılamıyor. Bu konuda müşteri hizmetleriyle birkaç defa iletişime geçtim. Bulunduğum bölgeye hizmet veremediklerini mesaj yolu ve telefon görüşmelerinde teyit ettiler. Buna rağmen başka operatöre geçmek isteğimi söyledim. Ve tarafıma cayma bedeli çıkartıyor. Hizmet veremiyor ve cayma bedeli yansıtıyor. Ve ayrıca 60 günü geçmediğim bir taahhütnamede cayma bedeli yansıtıyor.,Turkcell Veremediği Hizmet İçin Cayma Bedeli İstiyor.,Cayma
"Turkcell\den ilk başvurumun olduğu 24 Haziranda ""mobil imza"" aldığım hatta, mobil imzayı aktivasyon için aranacağım ve aktif edileceği söylendi. Ne arayan oldu ne soran. 1 ay geçti ve ben iptal etmek istediğimi söyledim 280TL\lik faturaya ""1200 TL! "" lik cayma bedeli çıkardılar. (Fatura Hariç). Normalde bu tarz anlaşmalarda indirim yapılan tutar cayma bedeli olarak alınırken; hem amacıma hizmet etmeyip (Mobil İmza Aktivasyonu Yapılmadı, Aramadılar) hem de boştan yere ücret talep edilmesi çok can sıkıcı. Böyle bir durum sıradan bir firmaya bile yakışmazken, Turkcell kendine bunu nasıl yakıştırıyor anlayamadım. BTK\ya da yazacağım gerçi. Bu işlemin düzeltilmesini talep ediyorum!",Turkcell Mobil İmza Aktif Etmeyip Üstüne Para İstiyor.,Cayma
"Turkcellin hem hattı çekmiyor hem de 350 lira cayma bedeli istiyor. Çalıştığım iş yeri diğer bütün hatların kapsama alanında olmasına rağmen Turkcellin kapsama alanında bulunmuyor. Başvuru yapıyorum gelin baz istasyonu koyun diye burada 60 tane Turkcell li var diye, olumsuz yanıt veriyorlar. Bende bu sebebe istinaden taahhüt iptalini istiyorum bana 350 lira cayma bedeli isteniyor. Şu İnternet hızlarına bakın bu mesajı yazmak için bile 3 oda değiştim çeken bir yer bulayım diye. Beni boşuna aramayın benim hattımı iptal edin.",Turkcell'in Hem Hattı Çekmiyor Hem De 350 Lira Cayma Bedeli İstiyor.,Cayma
"Turkcell mobil hat aboneliğim olan hattıma 25.07.2024 tarihli fatura ödeme başlangıcı olan hattıma 139.27 TL hat açma kapama tutarı yansımış. Ayrıca, gecikme bedeli 5.76 TL ve 34.9 TL TÖHAŞ geç tahsilat bedeli yansımış. Yansıyan ücretleri kabul etmiyorum. Zaten faturalı hat kullanıyorum, kapatmış olsam cayma bedeli alacaklar. 2-3 gün gecikti diye hattı kapatıyorlar. Hep hat parası, hep gecikme bedeli, tahsilat bedeli istiyorlar. Kaç yere para ödeyeceğiz, sokakta süpürüyoruz.",Turkcell Hat Açma Kapama,Cayma
"Turkcell\de olan operatörümü farklı bir operatöre taşıdım. Hattımı taşırken herhangi bir taahhüt ücreti olmamasına rağmen tarafımdan 1230 ₺ cayma bedeli adı altında para kesilmiş. Müşteri hizmetleri ile görüşüp bu durumu izah etmeme rağmen kendileri tarafıma ""Artık para kesilmiş, yapacak bir şey yok"" şeklinde cevap verdiler. Paramın tekrar iadesini talep ediyorum. Gerekirse bütün mercilere şikayetimi taşıyacağım.",Turkcell Haksız Para Kesiyor.,Cayma
